Comment,Designator,Footprint,LCSC
STM32L443CCUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,C1338637
100R @ 100 MHz,FB1,L_0603_1608Metric,C14709
1u,"C1,C2",C_0402_1005Metric,C15684
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
100n,"C4,C5,C6,C7",C_0402_1005Metric,C169292
500mA,F1,Fuse_0805_2012Metric,C2833485
5.1k,"R1,R2",R_0402_1005Metric,C2906948
SW_Push,"SW1,SW2",SW_SPST_SKQG_WithStem,C318884
AP2127N-3.3,U3,SOT-23,C347222
4.7u,C3,C_0402_1005Metric,C368809
10k,R3,R_0402_1005Metric,C60490
USBLC6-2SC6,U2,SOT-23-6,C7519
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
